"tract","Name","Individual_Income_Excluding_Spouse_rP_gF_pall"
36047061600,"Kings County, NY",43213
34025809704,"Marlboro Township, NJ",43213
34021004204,"Princeton, NJ",43211
25017370201,"Watertown, MA",43208
17031812400,"Oak Park, IL",43197
25017368902,"Waltham, MA",43193
34013019400,"Maplewood, NJ",43192
34039036302,"Clark, NJ",43190
25027730801,"Salisbury Street, Worcester, MA",43190
12086007806,"Pinecrest, FL",43177
19153011203,"Clive, IA",43176
36081092800,"Queens County, NY",43175
39035183300,"Shaker Heights, OH",43173
24031701507,"Silver Spring, MD",43165
12099005937,"Delray Beach, FL",43162
25021413100,"Norwood, MA",43155
42045409601,"Bryn Mawr, PA",43148
6075047802,"Richmond District, San Francisco, CA",43148
12071060300,"Bonita Springs, FL",43137
6097151602,"Oakmont Village Association, Santa Rosa, CA",43133
6037701201,"North of Montana, Santa Monica, CA",43131
24031705902,"Bannockburn, Bethesda, MD",43129
25017357700,"Belmont, MA",43128
36103110501,"Centerport, NY",43125
36087011603,"Suffern, NY",43122
6075035100,"Sunset District, San Francisco, CA",43121
51013101100,"East Falls Church, Arlington, VA",43119
6081609603,"San Carlos, CA",43108
36059521400,"Massapequa, NY",43101
36081147900,"Queens County, NY",43092
42091200607,"Lansdale, PA",43088
36103158203,"Setauket- East Setauket, NY",43085
36119004900,"Scarsdale, NY",43083
36119009703,"White Plains, NY",43083
6085510100,"Woodland Acres - The Highlands, Los Altos, CA",43079
6037464100,"San Marino, CA",43079
34025803202,"Holmdel, NJ",43077
9003430302,"Plantsville, Southington, CT",43061
6081608502,"South San Mateo, San Mateo, CA",43059
34027045703,"Mount Freedom, Randolph, NJ",43053
25021406102,"Medfield, Medfield, MA",43053
34027043301,"Morristown, NJ",43053
24031700611,"Boyds, MD",43051
9001090200,"Trumbull, CT",43050
17097865300,"Highland Park, IL",43046
36119008602,"Purchase, Harrison, NY",43034
48113007605,"Northwest Dallas, Dallas, TX",43034
36061001501,"Lower Manhattan, New York, NY",43033
25025130200,"Brook Farm, Boston, MA",43026
25027742401,"Westborough, MA",43024
9003497000,"West Hartford, CT",43014
36119005100,"Eastchester, NY",43012
36081152901,"Queens County, NY",43005
34039038201,"Berkeley Heights, NJ",43000
6075030301,"Inner Sunset, San Francisco, CA",42996
36119011902,"Valhalla, NY",42993
25021412300,"Westwood, MA",42988
24031705702,"Bethesda, MD",42987
36119013104,"Chappaqua, NY",42986
15003000401,"Waialae - Kahala, Honolulu, HI",42982
26161405300,"Ann Arbor, MI",42980
24031700616,"North Potomac, MD",42980
42101013401,"Fairmount, Philadelphia, PA",42978
27053023600,"Country Club, Minneapolis, MN",42975
17031080100,"Gold Coast, Chicago, IL",42972
34039037700,"Summit, NJ",42963
42101038500,"Chestnut Hill, Philadelphia, PA",42951
36059520100,"Old Bethpage, NY",42940
